"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","0.6071","0.6166","0.6267","0.6027","2.09M","-1.55%"
"Dec 30, 2019","0.6167","0.6356","0.6425","0.6160","3.14M","-2.98%"
"Dec 29, 2019","0.6356","0.6241","0.6511","0.6150","3.56M","1.85%"
"Dec 28, 2019","0.6241","0.6267","0.6308","0.6209","1.66M","-0.42%"
"Dec 27, 2019","0.6267","0.6140","0.6276","0.6043","1.58M","2.07%"
"Dec 26, 2019","0.6140","0.6066","0.6316","0.6020","1.55M","1.23%"
"Dec 25, 2019","0.6066","0.6216","0.6225","0.6050","1.78M","-2.42%"
"Dec 24, 2019","0.6216","0.6295","0.6312","0.6143","2.11M","-1.26%"
"Dec 23, 2019","0.6295","0.6506","0.6744","0.6225","3.55M","-3.24%"
"Dec 22, 2019","0.6506","0.6464","0.6574","0.6431","3.40M","0.64%"
"Dec 21, 2019","0.6465","0.6535","0.6537","0.6389","1.98M","-1.08%"
"Dec 20, 2019","0.6535","0.6312","0.6579","0.6247","1.95M","3.54%"
"Dec 19, 2019","0.6312","0.6592","0.6651","0.6241","3.52M","-4.22%"
"Dec 18, 2019","0.6589","0.5905","0.6720","0.5694","6.99M","11.59%"
"Dec 17, 2019","0.5905","0.6552","0.6632","0.5809","6.02M","-9.88%"
"Dec 16, 2019","0.6552","0.7019","0.7028","0.6362","3.34M","-6.60%"
"Dec 15, 2019","0.7016","0.7049","0.7055","0.6892","2.04M","-0.47%"
"Dec 14, 2019","0.7049","0.7084","0.7422","0.6945","2.71M","-0.50%"
"Dec 13, 2019","0.7084","0.7111","0.7319","0.7039","4.09M","-0.38%"
"Dec 12, 2019","0.7111","0.7186","0.7247","0.7050","3.33M","-1.05%"
"Dec 11, 2019","0.7186","0.7322","0.7427","0.7134","6.04M","-1.85%"
"Dec 10, 2019","0.7322","0.7326","0.7399","0.7048","2.76M","-0.06%"
"Dec 09, 2019","0.7326","0.7448","0.7682","0.7287","3.10M","-1.65%"
"Dec 08, 2019","0.7449","0.7484","0.7537","0.7330","1.26M","-0.47%"
"Dec 07, 2019","0.7484","0.7494","0.7575","0.7458","1.67M","-0.13%"
"Dec 06, 2019","0.7494","0.7329","0.7514","0.7261","2.40M","2.25%"
"Dec 05, 2019","0.7329","0.7232","0.7392","0.7137","2.28M","1.34%"
"Dec 04, 2019","0.7232","0.7433","0.7725","0.7128","3.37M","-2.71%"
"Dec 03, 2019","0.7433","0.7354","0.7452","0.7290","1.77M","1.09%"
"Dec 02, 2019","0.7354","0.7472","0.7495","0.7280","1.83M","-1.58%"
"Dec 01, 2019","0.7472","0.7668","0.7712","0.7227","3.30M","-2.57%"
"Nov 30, 2019","0.7668","0.8025","0.8069","0.7498","3.45M","-4.44%"
"Nov 29, 2019","0.8025","0.7762","0.8217","0.7726","2.89M","3.38%"
"Nov 28, 2019","0.7762","0.7641","0.7989","0.7622","3.00M","1.58%"
"Nov 27, 2019","0.7641","0.7451","0.8118","0.7115","5.00M","2.55%"
"Nov 26, 2019","0.7451","0.7220","0.7500","0.7187","8.45M","3.20%"
"Nov 25, 2019","0.7220","0.7364","0.7622","0.6611","8.61M","-1.95%"
"Nov 24, 2019","0.7364","0.8031","0.8126","0.7307","4.47M","-8.31%"
"Nov 23, 2019","0.8031","0.7714","0.8075","0.7541","5.69M","4.12%"
"Nov 22, 2019","0.7714","0.8230","0.8334","0.7210","7.63M","-6.23%"
"Nov 21, 2019","0.8226","0.8850","0.8912","0.7874","6.53M","-7.05%"
"Nov 20, 2019","0.8850","0.8963","0.9201","0.8838","2.93M","-1.26%"
"Nov 19, 2019","0.8963","0.9406","0.9416","0.8721","6.33M","-4.71%"
"Nov 18, 2019","0.9406","1.0244","1.0250","0.9063","3.98M","-8.17%"
"Nov 17, 2019","1.0244","1.0444","1.0444","0.9881","3.79M","-1.92%"
"Nov 16, 2019","1.0444","1.0060","1.0713","0.9956","9.53M","3.82%"
"Nov 15, 2019","1.0060","1.0130","1.0746","0.9801","7.12M","-0.69%"
"Nov 14, 2019","1.0130","0.9785","1.0368","0.9507","10.22M","3.52%"
"Nov 13, 2019","0.9785","0.9637","0.9986","0.9512","5.08M","1.61%"
"Nov 12, 2019","0.9631","0.9508","0.9862","0.9463","3.66M","1.29%"
"Nov 11, 2019","0.9508","1.0066","1.0078","0.9254","3.75M","-5.55%"
"Nov 10, 2019","1.0066","0.9614","1.0254","0.9464","4.47M","4.70%"
"Nov 09, 2019","0.9615","0.9522","0.9694","0.9439","3.23M","0.97%"
"Nov 08, 2019","0.9522","0.9980","1.0044","0.9257","6.80M","-4.58%"
"Nov 07, 2019","0.9980","1.0322","1.0429","0.9645","7.03M","-3.31%"
"Nov 06, 2019","1.0322","1.0271","1.0896","1.0158","6.67M","0.50%"
"Nov 05, 2019","1.0271","0.9838","1.0609","0.9712","7.53M","4.40%"
"Nov 04, 2019","0.9838","0.9644","0.9960","0.9459","4.75M","2.01%"
"Nov 03, 2019","0.9644","0.9843","0.9951","0.9451","2.41M","-2.02%"
"Nov 02, 2019","0.9843","0.9745","1.0006","0.9577","7.61M","0.97%"
"Nov 01, 2019","0.9748","0.9443","0.9853","0.9332","9.46M","3.23%"
"Oct 31, 2019","0.9443","0.9801","0.9868","0.9239","3.68M","-3.65%"
"Oct 30, 2019","0.9801","1.0375","1.0382","0.9369","7.34M","-5.53%"
"Oct 29, 2019","1.0375","1.0269","1.1147","1.0133","8.50M","1.03%"
"Oct 28, 2019","1.0269","0.9696","1.0939","0.9265","12.03M","5.93%"
"Oct 27, 2019","0.9693","0.8455","1.0407","0.8391","13.55M","14.57%"
"Oct 26, 2019","0.8460","0.8381","0.9084","0.8157","9.13M","0.95%"
"Oct 25, 2019","0.8381","0.7812","0.8546","0.7665","5.01M","7.28%"
"Oct 24, 2019","0.7812","0.7247","0.7911","0.7088","4.40M","7.84%"
"Oct 23, 2019","0.7244","0.7794","0.7863","0.7086","4.02M","-7.05%"
"Oct 22, 2019","0.7794","0.8087","0.8181","0.7790","2.24M","-3.63%"
"Oct 21, 2019","0.8087","0.8133","0.8163","0.7958","3.62M","-0.58%"
"Oct 20, 2019","0.8134","0.7676","0.8269","0.7598","3.06M","5.97%"
"Oct 19, 2019","0.7676","0.7740","0.7778","0.7603","2.21M","-0.80%"
"Oct 18, 2019","0.7737","0.7967","0.7994","0.7654","2.00M","-2.89%"
"Oct 17, 2019","0.7967","0.7726","0.8021","0.7626","2.99M","3.14%"
"Oct 16, 2019","0.7725","0.7967","0.8038","0.7627","2.13M","-3.05%"
"Oct 15, 2019","0.7967","0.8276","0.8318","0.7918","2.04M","-3.71%"
"Oct 14, 2019","0.8274","0.8285","0.8323","0.8181","1.39M","-0.12%"
"Oct 13, 2019","0.8285","0.8334","0.8420","0.8232","1.20M","-0.57%"
"Oct 12, 2019","0.8332","0.8354","0.8432","0.8293","1.28M","-0.25%"
"Oct 11, 2019","0.8353","0.8908","0.8966","0.8332","3.04M","-6.22%"
"Oct 10, 2019","0.8907","0.9191","0.9202","0.8821","4.24M","-3.09%"
"Oct 09, 2019","0.9191","0.9064","0.9386","0.8987","6.45M","1.40%"
"Oct 08, 2019","0.9064","0.9020","0.9200","0.8865","5.17M","0.52%"
"Oct 07, 2019","0.9017","0.8752","0.9124","0.8620","4.67M","3.10%"
"Oct 06, 2019","0.8746","0.8355","0.8919","0.8334","6.18M","4.68%"
"Oct 05, 2019","0.8355","0.8363","0.8398","0.8259","3.10M","-0.09%"
"Oct 04, 2019","0.8363","0.8170","0.8499","0.8047","3.09M","2.38%"
"Oct 03, 2019","0.8169","0.8306","0.8336","0.8027","3.09M","-1.65%"
